NationalParks,NationalParks_clean
Acadia,acadia
American Samoa,american samoa
Arches,arches
Badlands,badlands
Big Bend ,big bend 
Biscayne,biscayne
Black Canyon of the Gunnison,black canyon of the gunnison
Bryce Canyon,bryce canyon
Canyonlands,canyonlands
Capitol Reef,capitol reef
Carlsbad Caverns,carlsbad caverns
Channel Islands ,channel islands 
Congaree ,congaree 
Crater Lake,crater lake
Cuyahoga Valley,cuyahoga valley
Death Valley ,death valley 
Denali ,denali 
Dry Tortugas ,dry tortugas 
Everglades ,everglades 
Gates of the Arctic,gates of the arctic
Gateway Arch,gateway arch
Glacier Bay ,glacier bay 
Glacier ,glacier 
Grand Canyon,grand canyon
Grand Teton ,grand teton 
Great Basin,great basin
Great Sand Dunes,great sand dunes
Great Smoky Mountains ,great smoky mountains 
Guadalupe Mountains,guadalupe mountains
Haleakalā,haleakalā
Hawaiʻi Volcanoes ,hawaiʻi volcanoes 
Hot Springs,hot springs
Indiana Dunes,indiana dunes
Isle Royale ,isle royale 
Joshua Tree ,joshua tree 
Katmai,katmai
Kenai Fjords,kenai fjords
Kings Canyon ,kings canyon 
Kobuk Valley,kobuk valley
Lake Clark,lake clark
Lassen Volcanic,lassen volcanic
Mammoth Cave ,mammoth cave 
Mesa Verde,mesa verde
Mount Rainier,mount rainier
North Cascades,north cascades
Olympic ,olympic 
Petrified Forest,petrified forest
Pinnacles,pinnacles
Redwood,redwood
Rocky Mountain ,rocky mountain 
Saguaro,saguaro
Sequoia ,sequoia 
Shenandoah,shenandoah
Theodore Roosevelt,theodore roosevelt
Virgin Islands,virgin islands
Voyageurs,voyageurs
White Sands,white sands
Wind Cave,wind cave
Wrangell-St. Elias,wrangell
Yellowstone ,yellowstone 
Yosemite,yosemite
Zion,zion